I073638FXA3943AGL4447TAS4851NET5254ENL5555FLP 5658WSP5961WDI6262GND6363GEA

B1850415146627N00107806EA0070800708007,00705,014401220003,014
B1850425146607N00107806EA0070600706007,00704,014501430003,013
B1850435146588N00107806EA0070400704007,00704,014601540003,011
B1850445146567N00107806EA0070100701007,00701,014801500003,010
B1850455146546N00107807EA0069800698007,00698,015101300003,010
B1850465146525N00107807EA0069500695007,00695,015300970003,009
B1850475146503N00107808EA0069200692007,00692,015500700003,009
B1850485146481N00107808EA0069100691007,00691,015500490003,009
B1850495146459N00107809EA0069100691007,00691,015400340003,008
B1850505146438N00107810EA0069300693007,00693,015100240003,008
B1850515146416N00107812EA0069700697007,00697,014800170003,008
B1850525146396N00107813EA0070100701007,00701,014300120003,008
B1850535146376N00107815EA0070600706007,00706,013800090003,008
B1850545146357N00107816EA0071100711007,00711,013300060003,008
B1850555146338N00107818EA0071500715007,00715,012900030003,008
B1850565146321N00107820EA0071800718007,00718,012500010003,008
B1850575146303N00107822EA0072000720007,00720,012300000006,008
B1850585146286N00107824EA0072000720007,00720,0122-0010006,008
B1850595146269N00107827EA0071800718007,00718,0123-0010006,008
B1851005146252N00107829EA0071400714007,00714,0126-0010006,008
B1851015146234N00107832EA0071000710007,00710,012900000006,008
B1851025146216N00107835EA0070500705007,00705,013100000006,008
B1851035146197N00107838EA0069900699007,00699,013400010006,008
B1851045146179N00107841EA0069400694007,00694,013700010006,008
B1851055146159N00107844EA0068800688007,00688,013900020006,008
B1851065146140N00107848EA0068200682007,00682,014200020006,008
B1851075146120N00107851EA0067500675007,00675,014500030006,008
B1851085146100N00107854EA0066900669007,00669,014700030006,008
B1851095146079N00107858EA0066400664007,00664,014900030006,008
B1851105146058N00107861EA0065900659007,00659,015000030006,008
B1851115146037N00107865EA0065400654007,00654,015000020006,008
B1851125146015N00107868EA0065100651007,00651,015000020006,008
B1851135145994N00107871EA0064800648007,00648,014900000006,008
B1851145145973N00107874EA0064600646007,00646,0148-0020006,008
B1851155145953N00107877EA0064300643007,00643,0147-0040006,008
B1851165145932N00107880EA0064100641007,00641,0146-0060006,008
B1851175145911N00107883EA0063800638007,00638,0145-0070006,008
B1851185145891N00107886EA0063600636007,00636,0144-0080006,008
B1851195145870N00107888EA0063300633007,00633,0143-0090006,008
B1851205145850N00107891EA0063000630007,00630,0143-0090006,008
B1851215145830N00107894EA0062600626007,00626,0143-0090006,008
B1851225145810N00107896EA0062200622007,00622,0144-0090006,008
B1851235145789N00107899EA0061800618007,00618,0144-0090006,008
B1851245145769N00107901EA0061400614007,00614,0145-0080006,008
B1851255145748N00107903EA0061000610007,00610,0146-0070006,008
B1851265145728N00107906EA0060500605007,00605,0147-0050006,008
B1851275145707N00107908EA0060000600007,00600,0147-0040006,008
B1851285145686N00107910EA0059600596007,00596,0148-0030006,007
B1851295145665N00107913EA0059200592007,00592,0148-0030006,007
B1851305145644N00107915EA0058800588007,00588,0149-0030006,007
B1851315145623N00107917EA0058400584007,00584,0149-0040006,007
B1851325145602N00107919EA0058100581007,00581,0148-0050006,007
B1851335145580N00107922EA0057700577007,00577,0148-0060006,007
B1851345145560N00107924EA0057400574007,00574,0147-0070006,007
B1851355145539N00107926EA0057200572007,00572,0147-0070006,007
B1851365145518N00107928EA0056900569007,00569,0146-0060006,007
B1851375145497N00107930EA0056600566007,00566,0145-0040006,007
B1851385145476N00107932EA0056300563007,00563,0145-0030006,008
B1851395145456N00107935EA0056000560007,00560,0144-0020006,008
